FLXS,"Flexsteel Industries, Inc.",29.26,214072012,n/a,n/a,Consumer Durables,Home Furnishings
FELE,"Franklin Electric Co., Inc.",67.59,3122812443.15,n/a,n/a,Consumer Durables,Metal Fabrications
GNRC,Generac Holdlings Inc.,215.6,13548542669.2,n/a,2010,Consumer Durables,Metal Fabrications
GPK,Graphic Packaging Holding Company,15.32,4148397858,n/a,n/a,Consumer Durables,Containers/Packaging
GPI,"Group 1 Automotive, Inc.",118.81,2175910933.67,n/a,1997,Consumer Durables,Automotive Aftermarket
HBB,Hamilton Beach Brands Holding Company,18.78,257023699.74,n/a,2017,Consumer Durables,Home Furnishings
HAPP,Happiness Biotech Group Limited,1.95,48750000,n/a,2019,Consumer Durables,Specialty Chemicals
HWKN,"Hawkins, Inc.",50.18,535452564.66,n/a,n/a,Consumer Durables,Specialty Chemicals
HELE,Helen of Troy Limited,201.99,5121105189.39,n/a,n/a,Consumer Durables,Home Furnishings
MLHR,"Herman Miller, Inc.",35.64,2099225973.24,n/a,n/a,Consumer Durables,Office Equipment/Supplies/Services
HEXO,HEXO Corp.,1.12,541458677.76,n/a,n/a,Consumer Durables,Specialty Chemicals
HI,Hillenbrand Inc,37.47,2801981307.75,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries
HNI,HNI Corporation,36.46,1557376139,n/a,n/a,Consumer Durables,Office Equipment/Supplies/Services
HOFT,Hooker Furniture Corporation,30.27,359909331.36,n/a,n/a,Consumer Durables,Home Furnishings
HDSN,"Hudson Technologies, Inc.",1.34,57170127.16,n/a,n/a,Consumer Durables,Industrial Specialties
IAA,"IAA, Inc.",59.92,8057159218.08,n/a,2019,Consumer Durables,Automotive Aftermarket
TILE,"Interface, Inc.",8.345,489596393.35,n/a,n/a,Consumer Durables,Home Furnishings
IRBT,iRobot Corporation,78.43,2206027119.34,n/a,2005,Consumer Durables,Consumer Electronics/Appliances
ITP,"IT Tech Packaging, Inc.",0.6361,18138274.4576,n/a,n/a,Consumer Durables,Containers/Packaging
KXIN,Kaixin Auto Holdings,6.49,419761187.01,n/a,2017,Consumer Durables,Automotive Aftermarket
KAMN,Kaman Corporation,52.29,1447250879.97,n/a,n/a,Consumer Durables,Industrial Specialties
KAR,"KAR Auction Services, Inc",18.05,2332990513.6,n/a,2009,Consumer Durables,Automotive Aftermarket
KBAL,"Kimball International, Inc.",10.93,404163539.43,n/a,n/a,Consumer Durables,Home Furnishings
KMB,Kimberly-Clark Corporation,139.31,47384445766.65,n/a,n/a,Consumer Durables,Containers/Packaging
KNL,"Knoll, Inc.",13.66,692316843.98,n/a,2004,Consumer Durables,Office Equipment/Supplies/Services
LAWS,"Lawson Products, Inc.",47.24,426592647.48,n/a,n/a,Consumer Durables,Industrial Specialties
LZB,La-Z-Boy Incorporated,37.04,1709180538.32,n/a,n/a,Consumer Durables,Home Furnishings
LAZY,"Lazydays Holdings, Inc.",16.5,155955541.5,n/a,n/a,Consumer Durables,Automotive Aftermarket
LEG,"Leggett & Platt, Incorporated",43.1,5711565236.5,n/a,n/a,Consumer Durables,Home Furnishings
LAD,"Lithia Motors, Inc.",289.3,7673477386.3,n/a,n/a,Consumer Durables,Automotive Aftermarket
LFUS,"Littelfuse, Inc.",240.53,5862930535.97,n/a,n/a,Consumer Durables,Electrical Products
LMPX,"LMP Automotive Holdings, Inc.",27.05,267888403.65,n/a,2019,Consumer Durables,Automotive Aftermarket
LYTS,LSI Industries Inc.,7.82,206099751.94,n/a,1985,Consumer Durables,Building Products
MTEX,"Mannatech, Incorporated",18.445,38509304.995,n/a,n/a,Consumer Durables,Specialty Chemicals
MDWD,MediWound Ltd.,3.76,102320105.44,n/a,2014,Consumer Durables,Specialty Chemicals
MWK,"Mohawk Group Holdings, Inc.",7.06,154225304.64,n/a,2019,Consumer Durables,Home Furnishings
MHK,"Mohawk Industries, Inc.",125.83,8958922354.6,n/a,n/a,Consumer Durables,Home Furnishings
MNCL,Monocle Acquisition Corporation,10.98,244634400,n/a,2019,Consumer Durables,Industrial Specialties
MNCLU,Monocle Acquisition Corporation,10.4,0,n/a,2019,Consumer Durables,Industrial Specialties
MNCLW,Monocle Acquisition Corporation,0.66,0,n/a,2019,Consumer Durables,Industrial Specialties
MUSA,Murphy USA Inc.,128.2,3740572294.2,n/a,2013,Consumer Durables,Automotive Aftermarket
NC,"NACCO Industries, Inc.",26.75,188469131.25,n/a,n/a,Consumer Durables,Consumer Electronics/Appliances
NAII,"Natural Alternatives International, Inc.",9.9692,64557249.364,n/a,n/a,Consumer Durables,Specialty Chemicals
NHTC,Natural Health Trends Corp.,5.29,60425231.31,n/a,n/a,Consumer Durables,Consumer Specialties
NTZ,"Natuzzi, S.p.A.",9.49,104111079.41,n/a,1993,Consumer Durables,Home Furnishings
NVFY,"Nova Lifestyle, Inc",2.12,11779894.48,n/a,n/a,Consumer Durables,Home Furnishings
OBCI,"Ocean Bio-Chem, Inc.",13.25,125372891.25,n/a,n/a,Consumer Durables,Specialty Chemicals
OI,"O-I Glass, Inc.",11.32,1779115622.12,n/a,n/a,Consumer Durables,Containers/Packaging
ODC,Oil-Dri Corporation Of America,34.43,256922134.37,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries
OESX,"Orion Energy Systems, Inc.",10.32,316987159.2,n/a,2015,Consumer Durables,Building Products
PKG,Packaging Corporation of America,130,12328004910,n/a,2000,Consumer Durables,Containers/Packaging
PTVE,Pactiv Evergreen Inc.,16.88,2990422144.8,n/a,2020,Consumer Durables,Containers/Packaging
PAG,"Penske Automotive Group, Inc.",55.07,4424088706.17,n/a,n/a,Consumer Durables,Automotive Aftermarket
PPSI,"Pioneer Power Solutions, Inc.",3.77,32897189.65,n/a,n/a,Consumer Durables,Electrical Products
